2022-03-01 13:02:28 startup archives unpack
2022-03-01 13:02:28 install libapr1:amd64 <none> 1.7.0-6+deb11u1
2022-03-01 13:02:28 status triggers-pending libc-bin:amd64 2.31-13+deb11u2
2022-03-01 13:02:28 status half-installed libapr1:amd64 1.7.0-6+deb11u1
2022-03-01 13:02:28 status unpacked libapr1:amd64 1.7.0-6+deb11u1
2022-03-01 13:02:28 install libexpat1:amd64 <none> 2.2.10-2+deb11u2
2022-03-01 13:02:28 status half-installed libexpat1:amd64 2.2.10-2+deb11u2
2022-03-01 13:02:28 status unpacked libexpat1:amd64 2.2.10-2+deb11u2
2022-03-01 13:02:28 install libgdbm6:amd64 <none> 1.19-2
2022-03-01 13:02:28 status half-installed libgdbm6:amd64 1.19-2
2022-03-01 13:02:28 status unpacked libgdbm6:amd64 1.19-2
2022-03-01 13:02:28 install libaprutil1:amd64 <none> 1.6.1-5
2022-03-01 13:02:28 status half-installed libaprutil1:amd64 1.6.1-5
2022-03-01 13:02:28 status unpacked libaprutil1:amd64 1.6.1-5
2022-03-01 13:02:28 install libsasl2-modules-db:amd64 <none> 2.1.27+dfsg-2.1+deb11u1
2022-03-01 13:02:28 status half-installed libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2022-03-01 13:02:28 status unpacked libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2022-03-01 13:02:28 install libsasl2-2:amd64 <none> 2.1.27+dfsg-2.1+deb11u1
2022-03-01 13:02:28 status half-installed libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2022-03-01 13:02:28 status unpacked libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2022-03-01 13:02:29 install libldap-2.4-2:amd64 <none> 2.4.57+dfsg-3
2022-03-01 13:02:29 status half-installed libldap-2.4-2:amd64 2.4.57+dfsg-3
2022-03-01 13:02:29 status unpacked libldap-2.4-2:amd64 2.4.57+dfsg-3
2022-03-01 13:02:29 install libaprutil1-ldap:amd64 <none> 1.6.1-5
2022-03-01 13:02:29 status half-installed libaprutil1-ldap:amd64 1.6.1-5
2022-03-01 13:02:29 status unpacked libaprutil1-ldap:amd64 1.6.1-5
2022-03-01 13:02:29 install libldap-common:all <none> 2.4.57+dfsg-3
2022-03-01 13:02:29 status half-installed libldap-common:all 2.4.57+dfsg-3
2022-03-01 13:02:29 status unpacked libldap-common:all 2.4.57+dfsg-3
2022-03-01 13:02:29 startup packages configure
2022-03-01 13:02:29 configure libexpat1:amd64 2.2.10-2+deb11u2 <none>
2022-03-01 13:02:29 status unpacked libexpat1:amd64 2.2.10-2+deb11u2
2022-03-01 13:02:29 status half-configured libexpat1:amd64 2.2.10-2+deb11u2
2022-03-01 13:02:29 status installed libexpat1:amd64 2.2.10-2+deb11u2
2022-03-01 13:02:29 configure libapr1:amd64 1.7.0-6+deb11u1 <none>
2022-03-01 13:02:29 status unpacked libapr1:amd64 1.7.0-6+deb11u1
2022-03-01 13:02:29 status half-configured libapr1:amd64 1.7.0-6+deb11u1
2022-03-01 13:02:29 status installed libapr1:amd64 1.7.0-6+deb11u1
2022-03-01 13:02:29 configure libldap-common:all 2.4.57+dfsg-3 <none>
2022-03-01 13:02:29 status unpacked libldap-common:all 2.4.57+dfsg-3
2022-03-01 13:02:29 status half-configured libldap-common:all 2.4.57+dfsg-3
2022-03-01 13:02:29 status installed libldap-common:all 2.4.57+dfsg-3
2022-03-01 13:02:29 configure libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1 <none>
2022-03-01 13:02:29 status unpacked libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2022-03-01 13:02:29 status half-configured libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2022-03-01 13:02:29 status installed libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2022-03-01 13:02:29 configure libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1 <none>
2022-03-01 13:02:29 status unpacked libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2022-03-01 13:02:29 status half-configured libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2022-03-01 13:02:29 status installed libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2022-03-01 13:02:29 configure libgdbm6:amd64 1.19-2 <none>
2022-03-01 13:02:29 status unpacked libgdbm6:amd64 1.19-2
2022-03-01 13:02:29 status half-configured libgdbm6:amd64 1.19-2
2022-03-01 13:02:29 status installed libgdbm6:amd64 1.19-2
2022-03-01 13:02:29 configure libaprutil1:amd64 1.6.1-5 <none>
2022-03-01 13:02:29 status unpacked libaprutil1:amd64 1.6.1-5
2022-03-01 13:02:29 status half-configured libaprutil1:amd64 1.6.1-5
2022-03-01 13:02:29 status installed libaprutil1:amd64 1.6.1-5
2022-03-01 13:02:29 configure libldap-2.4-2:amd64 2.4.57+dfsg-3 <none>
2022-03-01 13:02:29 status unpacked libldap-2.4-2:amd64 2.4.57+dfsg-3
2022-03-01 13:02:29 status half-configured libldap-2.4-2:amd64 2.4.57+dfsg-3
2022-03-01 13:02:29 status installed libldap-2.4-2:amd64 2.4.57+dfsg-3
2022-03-01 13:02:29 configure libaprutil1-ldap:amd64 1.6.1-5 <none>
2022-03-01 13:02:29 status unpacked libaprutil1-ldap:amd64 1.6.1-5
2022-03-01 13:02:29 status half-configured libaprutil1-ldap:amd64 1.6.1-5
2022-03-01 13:02:29 status installed libaprutil1-ldap:amd64 1.6.1-5
2022-03-01 13:02:29 trigproc libc-bin:amd64 2.31-13+deb11u2 <none>
2022-03-01 13:02:29 status half-configured libc-bin:amd64 2.31-13+deb11u2
2022-03-01 13:02:29 status installed libc-bin:amd64 2.31-13+deb11u2
2022-03-14 19:06:43 startup archives unpack
2022-03-14 19:06:43 install perl-modules-5.32:all <none> 5.32.1-4+deb11u2
2022-03-14 19:06:43 status half-installed perl-modules-5.32:all 5.32.1-4+deb11u2
2022-03-14 19:06:43 status unpacked perl-modules-5.32:all 5.32.1-4+deb11u2
2022-03-14 19:06:43 install libgdbm-compat4:amd64 <none> 1.19-2
2022-03-14 19:06:43 status triggers-pending libc-bin:amd64 2.31-13+deb11u2
2022-03-14 19:06:43 status half-installed libgdbm-compat4:amd64 1.19-2
2022-03-14 19:06:43 status unpacked libgdbm-compat4:amd64 1.19-2
2022-03-14 19:06:43 install libperl5.32:amd64 <none> 5.32.1-4+deb11u2
2022-03-14 19:06:43 status half-installed libperl5.32:amd64 5.32.1-4+deb11u2
2022-03-14 19:06:43 status unpacked libperl5.32:amd64 5.32.1-4+deb11u2
2022-03-14 19:06:43 install perl:amd64 <none> 5.32.1-4+deb11u2
2022-03-14 19:06:43 status half-installed perl:amd64 5.32.1-4+deb11u2
2022-03-14 19:06:43 status unpacked perl:amd64 5.32.1-4+deb11u2
2022-03-14 19:06:44 install libpython3.9-minimal:amd64 <none> 3.9.2-1
2022-03-14 19:06:44 status half-installed libpython3.9-minimal:amd64 3.9.2-1
